               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.019185,            0.017296,                   0,             0.98539,              0.9507,             0.97507,             0.80286,            0.015357,            0.022004,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.018168,            0.016995,                   0,             0.96454,             0.95767,             0.97704,             0.81171,            0.015025,             0.02119,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.017748,            0.016708,                   0,             0.96479,             0.96478,             0.97834,             0.80869,            0.015401,            0.021177,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.017851,            0.016212,                   0,             0.95197,             0.97887,             0.97669,             0.81124,            0.015122,            0.021258,                   0,            0.007228,            0.007228,            0.007228
                  86,             0.01831,              0.0173,                   0,             0.97163,             0.96474,             0.97631,             0.81469,            0.015182,            0.021747,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.018482,            0.016369,                   0,             0.96479,             0.96476,             0.97791,             0.81865,            0.014875,            0.021863,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.016998,            0.015725,                   0,             0.97842,             0.95772,              0.9776,             0.81748,            0.014612,            0.021496,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.017865,            0.015785,                   0,             0.97826,             0.95067,             0.97848,              0.8165,            0.014962,            0.022045,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.018091,            0.016894,                   0,             0.96528,             0.97885,             0.97926,             0.81849,            0.014711,            0.021415,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.017696,            0.017164,                   0,             0.95862,             0.97885,              0.9842,             0.81928,            0.014964,            0.020884,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.017003,            0.016718,                   0,             0.98537,              0.9507,             0.97601,             0.81109,            0.014719,              0.0215,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.016124,            0.015995,                   0,             0.98551,             0.95773,             0.98368,             0.81765,            0.014751,            0.020327,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.016841,            0.015799,                   0,             0.96551,             0.98584,             0.98482,             0.81272,            0.015765,            0.021085,                   0,            0.006931,            0.006931,            0.006931
                  95,             0.01748,            0.016129,                   0,             0.97192,             0.97887,             0.98434,             0.80609,            0.016224,            0.021829,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.017379,            0.016153,                   0,             0.96503,             0.97183,             0.98391,             0.80806,             0.01465,            0.020265,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.016547,            0.015053,                   0,             0.95862,             0.97879,             0.98288,             0.81209,            0.014948,            0.020153,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.016294,            0.016879,                   0,             0.95858,             0.97887,             0.98385,             0.81358,            0.014783,            0.020413,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.016957,            0.016327,                   0,             0.97203,             0.97886,             0.98117,             0.79598,            0.016155,            0.021405,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.017137,            0.015833,                   0,             0.95804,             0.96468,             0.97814,             0.80547,            0.015676,            0.021534,                   0,            0.006733,            0.006733,            0.006733
